(-2.00, 4.01)
(-2.00, 3.98)
(-1.99, 3.97)
(-1.99, 3.95)
(-1.98, 3.94)
(-1.98, 3.92)
(-1.98, 3.90)
(-1.97, 3.89)
(-1.97, 3.87)
(-1.96, 3.86)
(-1.96, 3.84)
(-1.96, 3.83)
(-1.95, 3.81)
(-1.95, 3.79)
(-1.94, 3.78)
(-1.94, 3.76)
(-1.94, 3.75)
(-1.93, 3.73)
(-1.93, 3.72)
(-1.92, 3.70)
(-1.92, 3.69)
(-1.92, 3.67)
(-1.91, 3.66)
(-1.91, 3.64)
(-1.90, 3.62)
(-1.90, 3.61)
(-1.90, 3.59)
(-1.89, 3.58)
(-1.89, 3.56)
(-1.88, 3.55)
(-1.88, 3.53)
(-1.88, 3.52)
(-1.87, 3.50)
(-1.87, 3.49)
(-1.86, 3.47)
(-1.86, 3.46)
(-1.86, 3.44)
(-1.85, 3.43)
(-1.85, 3.41)
(-1.84, 3.40)
(-1.84, 3.39)
(-1.84, 3.37)
(-1.83, 3.36)
(-1.83, 3.34)
(-1.82, 3.33)
(-1.82, 3.31)
(-1.82, 3.30)
(-1.81, 3.28)
(-1.81, 3.27)
(-1.80, 3.25)
(-1.80, 3.24)
(-1.80, 3.22)
(-1.79, 3.21)
(-1.79, 3.20)
(-1.78, 3.18)
(-1.78, 3.17)
(-1.78, 3.15)
(-1.77, 3.14)
(-1.77, 3.12)
(-1.76, 3.11)
(-1.76, 3.10)
(-1.76, 3.08)
(-1.75, 3.07)
(-1.75, 3.05)
(-1.74, 3.04)
(-1.74, 3.03)
(-1.74, 3.01)
(-1.73, 3.00)
(-1.73, 2.99)
(-1.72, 2.97)
(-1.72, 2.96)
(-1.72, 2.94)
(-1.71, 2.93)
(-1.71, 2.92)
(-1.70, 2.90)
(-1.70, 2.89)
(-1.70, 2.88)
(-1.69, 2.86)
(-1.69, 2.85)
(-1.68, 2.83)
(-1.68, 2.82)
(-1.68, 2.81)
(-1.67, 2.79)
(-1.67, 2.78)
(-1.66, 2.77)
(-1.66, 2.75)
(-1.66, 2.74)
(-1.65, 2.73)
(-1.65, 2.71)
(-1.64, 2.70)
(-1.64, 2.69)
(-1.64, 2.68)
(-1.63, 2.66)
(-1.63, 2.65)
(-1.62, 2.64)
(-1.62, 2.62)
(-1.62, 2.61)
(-1.61, 2.60)
(-1.61, 2.58)
(-1.60, 2.57)
(-1.60, 2.56)
(-1.60, 2.55)
(-1.59, 2.53)
(-1.59, 2.52)
(-1.58, 2.51)
(-1.58, 2.50)
(-1.58, 2.48)
(-1.57, 2.47)
(-1.57, 2.46)
(-1.56, 2.44)
(-1.56, 2.43)
(-1.56, 2.42)
(-1.55, 2.41)
(-1.55, 2.39)
(-1.54, 2.38)
(-1.54, 2.37)
(-1.54, 2.36)
(-1.53, 2.35)
(-1.53, 2.33)
(-1.52, 2.32)
(-1.52, 2.31)
(-1.52, 2.30)
(-1.51, 2.28)
(-1.51, 2.27)
(-1.50, 2.26)
(-1.50, 2.25)
(-1.50, 2.24)
(-1.49, 2.22)
(-1.49, 2.21)
(-1.48, 2.20)
(-1.48, 2.19)
(-1.48, 2.18)
(-1.47, 2.17)
(-1.47, 2.15)
(-1.46, 2.14)
(-1.46, 2.13)
(-1.46, 2.12)
(-1.45, 2.11)
(-1.45, 2.10)
(-1.44, 2.08)
(-1.44, 2.07)
(-1.44, 2.06)
(-1.43, 2.05)
(-1.43, 2.04)
(-1.42, 2.03)
(-1.42, 2.01)
(-1.42, 2.00)
(-1.41, 1.99)
(-1.41, 1.98)
(-1.40, 1.97)
(-1.40, 1.96)
(-1.40, 1.95)
(-1.39, 1.94)
(-1.39, 1.92)
(-1.38, 1.91)
(-1.38, 1.90)
(-1.38, 1.89)
(-1.37, 1.88)
(-1.37, 1.87)
(-1.36, 1.86)
(-1.36, 1.85)
(-1.36, 1.84)
(-1.35, 1.83)
(-1.35, 1.82)
(-1.34, 1.80)
(-1.34, 1.79)
(-1.34, 1.78)
(-1.33, 1.77)
(-1.33, 1.76)
(-1.32, 1.75)
(-1.32, 1.74)
(-1.32, 1.73)
(-1.31, 1.72)
(-1.31, 1.71)
(-1.30, 1.70)
(-1.30, 1.69)
(-1.30, 1.68)
(-1.29, 1.67)
(-1.29, 1.66)
(-1.28, 1.65)
(-1.28, 1.64)
(-1.28, 1.63)
(-1.27, 1.62)
(-1.27, 1.61)
(-1.26, 1.60)
(-1.26, 1.59)
(-1.26, 1.58)
(-1.25, 1.57)
(-1.25, 1.56)
(-1.24, 1.55)
(-1.24, 1.54)
(-1.24, 1.53)
(-1.23, 1.52)
(-1.23, 1.51)
(-1.22, 1.50)
(-1.22, 1.49)
(-1.22, 1.48)
(-1.21, 1.47)
(-1.21, 1.46)
(-1.20, 1.45)
(-1.20, 1.44)
(-1.20, 1.43)
(-1.19, 1.42)
(-1.19, 1.41)
(-1.18, 1.40)
(-1.18, 1.39)
(-1.18, 1.38)
(-1.17, 1.37)
(-1.17, 1.36)
(-1.16, 1.35)
(-1.16, 1.34)
(-1.16, 1.33)
(-1.15, 1.33)
(-1.15, 1.32)
(-1.14, 1.31)
(-1.14, 1.30)
(-1.14, 1.29)
(-1.13, 1.28)
(-1.13, 1.27)
(-1.12, 1.26)
(-1.12, 1.25)
(-1.12, 1.24)
(-1.11, 1.23)
(-1.11, 1.23)
(-1.10, 1.22)
